Rating Agency;Corporation;Rating;Rating Date;CIK;Binary Rating;SIC Code;Sector;Ticker;Current Ratio;Long-term Debt / Capital;Debt/Equity Ratio;Gross Margin;Operating Margin;EBIT Margin;EBITDA Margin;Pre-Tax Profit Margin;Net Profit Margin;Asset Turnover;ROE - Return On Equity;Return On Tangible Equity;ROA - Return On Assets;ROI - Return On Investment;Operating Cash Flow Per Share;Free Cash Flow Per Share;
Standard & Poor's Ratings Services;BorgWarner Inc.;BBB;29-03-2011;908255;1;3714.0;Durbl;BWA;14.795;0.3129;0.511;193.409;89.212;89.212;137.189;84.542;66.763;10.176;17.153;331.188;71.323;117.857;0.5787;0.2468;
Standard & Poor's Ratings Services;Braskem S.A.;BBB-;30-03-2011;1071438;1;2860.0;Chems;BAK;0.7332;0.1658;11.917;105.508;-129.268;-129.268;-43.584;-168.232;-152.618;0.4697;-217.924;-218.191;-71.682;-181.801;-38.669;-20.854;
Standard & Poor's Ratings Services;Bristol-Myers Squibb Co.;A+;19-07-2011;14272;1;2834.0;Hlth;BMY;19.696;0.2541;0.3482;729.162;311.589;311.589;342.743;311.589;158.592;0.627;288.592;641.507;145.225;215.253;0.5454;0.3874;
Standard & Poor's Ratings Services;Brookfield Asset Management Inc.;A;25-07-2011;1001085;1;6200.0;Money;BAM;11.756;0.6664;19.973;311.455;173.399;173.399;278.927;57.358;37.577;0.1952;29.534;36.758;0.7334;0.9171;0.8167;-0.3823;
Standard & Poor's Ratings Services;CSX Corp.;BBB;28-04-2011;277948;1;4011.0;Other;CSX;11.253;0.4806;0.9959;655.792;288.736;288.736;377.774;239.376;146.954;0.378;179.655;179.655;55.542;93.308;0.3693;0.2569;
Standard & Poor's Ratings Services;CVS Health Corporation;BBB+;09-05-2011;64803;1;5912.0;Shops;CVS;15.995;0.1867;0.2668;211.103;64.075;64.075;79.413;58.479;35.781;15.406;90.769;1.522.919;55.044;73.826;0.6878;0.9978;
Standard & Poor's Ratings Services;CVS Health Corporation;BBB;16-11-2011;64803;1;5912.0;Shops;CVS;15.995;0.1867;0.2668;211.103;64.075;64.075;79.413;58.479;35.781;15.406;90.769;1.522.919;55.044;73.826;0.6878;0.9978;
Standard & Poor's Ratings Services;California Water Service Co.;A-;17-06-2011;1035201;1;4941.0;Utils;CWT;11.757;0.5239;11.602;643.555;184.366;184.366;28.481;135.126;8.179;0.2721;86.461;86.983;22.254;41.167;0.0697;-0.2621;
Standard & Poor's Ratings Services;California Water Service Co.;A-;19-12-2011;1035201;1;4941.0;Utils;CWT;11.757;0.5239;11.602;643.555;184.366;184.366;28.481;135.126;8.179;0.2721;86.461;86.983;22.254;41.167;0.0697;-0.2621;
Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;B;12-04-2011;1340122;0;2911.0;Enrgy;CLMT;12.684;0.4778;0.9272;90.722;32.633;32.633;64.719;0.7896;0.7471;21.548;43.932;52.145;16.427;21.897;0.6791;0.3975;
Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;B;01-08-2011;1340122;0;2911.0;Enrgy;CLMT;12.684;0.4778;0.9272;90.722;32.633;32.633;64.719;0.7896;0.7471;21.548;43.932;52.145;16.427;21.897;0.6791;0.3975;
Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;B;08-09-2011;1340122;0;2911.0;Enrgy;CLMT;12.684;0.4778;0.9272;90.722;32.633;32.633;64.719;0.7896;0.7471;21.548;43.932;52.145;16.427;21.897;0.6791;0.3975;
Standard & Poor's Ratings Services;Cameco Corp.;A;19-12-2011;1009001;1;1090.0;Other;CCJ;33.127;0.1644;0.215;42.795;243.989;243.989;347.935;331.256;474.915;0.3153;130.338;133.021;85.988;108.913;15.588;0.68;
Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;BBB;30-09-2011;1017413;1;1311.0;Enrgy;CNQ;0.6882;0.2883;0.405;634.828;310.362;310.362;59.101;20.095;118.489;0.3357;122.173;122.173;60.086;86.956;0.8872;-14.713;
Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;BBB;26-10-2011;1017413;1;1311.0;Enrgy;CNQ;0.6882;0.2883;0.405;634.828;310.362;310.362;59.101;20.095;118.489;0.3357;122.173;122.173;60.086;86.956;0.8872;-14.713;
Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;BBB+;01-11-2011;1017413;1;1311.0;Enrgy;CNQ;0.6882;0.2883;0.405;634.828;310.362;310.362;59.101;20.095;118.489;0.3357;122.173;122.173;60.086;86.956;0.8872;-14.713;
Standard & Poor's Ratings Services;Cardinal Health Inc.;A-;28-07-2011;721371;1;5122.0;Shops;CAH;12.203;0.2711;0.4278;40.548;1.475;1.475;17.799;14.789;0.9343;44.929;165.156;607.547;42.283;120.389;-19.596;-20.551;
Standard & Poor's Ratings Services;Carpenter Technology Corp.;BBB;27-06-2011;17843;1;3312.0;Manuf;CRS;37.607;0.3116;0.4527;120.808;0.9761;0.9761;59.069;0.3921;0.1585;0.7571;0.3662;0.4034;0.1326;0.2521;-0.6973;0.9587;
Standard & Poor's Ratings Services;Carpenter Technology Corp.;BBB;15-12-2011;17843;1;3312.0;Manuf;CRS;29.277;0.3445;0.6544;148.648;57.549;57.549;97.248;52.415;41.908;0.841;92.397;102.268;35.996;60.568;-11.584;-19.415;
Standard & Poor's Ratings Services;Caterpillar Inc.;AA;11-11-2011;18230;1;3531.0;Manuf;CAT;14.446;0.6529;26.158;286.959;93.054;114.516;168.428;88.053;63.398;0.6652;253.866;37.045;4.308;88.112;-26.804;-24.329;
Standard & Poor's Ratings Services;Cenovus Energy Inc.;BBB+;28-01-2011;1475260;1;2911.0;Enrgy;CVE;11.167;0.2551;0.3424;25.868;136.791;136.791;234.392;86.649;73.983;0.6075;84.025;94.874;38.113;62.591;-13.063;12.156;
Standard & Poor's Ratings Services;Central Garden & Pet Co.;B+;28-01-2011;887733;0;5140.0;Shops;CENT;32.334;0.4292;0.7522;338.114;71.587;71.587;98.411;49.819;30.081;13.473;89.818;200.802;42.264;5.127;-10.769;-12.493;
Standard & Poor's Ratings Services;Central Garden & Pet Co.;B;11-08-2011;887733;0;5140.0;Shops;CENT;32.334;0.4292;0.7522;338.114;71.587;71.587;98.411;49.819;30.081;13.473;89.818;200.802;42.264;5.127;-10.769;-12.493;
Standard & Poor's Ratings Services;Chevron Corporation;AA;21-10-2011;93410;1;2911.0;Enrgy;CVX;14.199;0.0986;0.1136;316.903;107.949;108.113;178.669;107.949;61.077;10.426;114.119;120.112;64.166;102.862;96.817;-0.2349;
Standard & Poor's Ratings Services;Ciena Corp.;CCC+;21-01-2011;936395;0;3661.0;BusEq;CIEN;30.675;0.9006;90.569;402.302;-260.237;-260.237;-122.924;-268.125;-269.695;0.5838;-2.093.715;124.856;-15.746;-208.186;-25.411;-28.267;
Standard & Poor's Ratings Services;Comcast Corp.;BBB+;15-12-2011;1166691;1;4841.0;Telcm;CMCSA;10.792;0.3999;0.707;448.243;210.349;210.349;389.672;160.898;95.817;0.3201;82.549;-10.983;30.945;49.535;0.2003;0.2075;
Standard & Poor's Ratings Services;Commercial Vehicle Group Inc.;CCC;08-04-2011;1290900;0;3714.0;Durbl;CVGI;22.174;10.007;-1.473.098;125.125;27.964;27.964;4.779;0.7799;10.852;20.886;-5.792.089;-1.638.132;22.665;39.345;-0.183;-0.2989;
Standard & Poor's Ratings Services;Companhia de Saneamento Basico do Estado de Sao Paulo;BB+;01-12-2011;1170858;0;4941.0;Utils;SBS;1.024;0.4204;0.8536;437.272;28.928;28.928;349.097;248.375;176.626;0.3953;168.404;-183.919;69.825;97.607;0.2102;15.682;
Standard & Poor's Ratings Services;Compass Group PLC;A-;01-09-2011;1563190;1;7371.0;BusEq;COMP;12.627;0.4899;11.525;354.971;283.528;283.528;353.184;219.388;175.541;0.3833;207.295;356.529;70.902;105.734;0.1225;0.3081;
Standard & Poor's Ratings Services;Comstock Resources Inc.;B;25-03-2011;23194;0;1311.0;Enrgy;CRK;0.8753;0.3245;0.4804;992.539;-34.382;-34.382;584.982;-69.977;-56.098;0.1778;-1.833;-1.833;-0.9971;-12.381;146.203;1.684;
